Host,Port,UID,Status,RTT_ms,ResponseHex,Note
127.0.0.18,5020,16,Error,,,conn_refused
127.0.0.19,5020,16,Error,,,conn_refused
127.0.0.20,5020,16,Error,,,conn_refused
127.0.0.21,5020,1,Error,,,conn_refused
127.0.0.22,5020,1,Error,,,conn_refused
127.0.0.23,5020,1,Error,,,conn_refused
127.0.0.24,5020,1,Error,,,conn_refused
127.0.0.29,5020,1,Error,,,conn_refused
127.0.0.28,5020,1,Error,,,conn_refused
127.0.0.27,5020,1,Error,,,conn_refused
127.0.0.30,5020,1,Error,,,conn_refused
127.0.0.25,5020,1,Error,,,conn_refused
127.0.0.26,5020,1,Error,,,conn_refused
127.0.0.21,5020,2,Error,,,conn_refused
127.0.0.22,5020,2,Error,,,conn_refused
127.0.0.24,5020,2,Error,,,conn_refused
127.0.0.23,5020,2,Error,,,conn_refused
127.0.0.26,5020,2,Error,,,conn_refused
127.0.0.25,5020,2,Error,,,conn_refused
127.0.0.27,5020,2,Error,,,conn_refused
127.0.0.30,5020,2,Error,,,conn_refused
127.0.0.28,5020,2,Error,,,conn_refused
127.0.0.29,5020,2,Error,,,conn_refused
127.0.0.21,5020,3,Error,,,conn_refused
127.0.0.22,5020,3,Error,,,conn_refused
127.0.0.24,5020,3,Error,,,conn_refused
127.0.0.28,5020,3,Error,,,conn_refused
127.0.0.25,5020,3,Error,,,conn_refused
127.0.0.23,5020,3,Error,,,conn_refused
127.0.0.27,5020,3,Error,,,conn_refused
127.0.0.26,5020,3,Error,,,conn_refused
127.0.0.29,5020,3,Error,,,conn_refused
127.0.0.30,5020,3,Error,,,conn_refused
127.0.0.21,5020,4,Error,,,conn_refused
127.0.0.22,5020,4,Error,,,conn_refused
127.0.0.25,5020,4,Error,,,conn_refused
127.0.0.27,5020,4,Error,,,conn_refused
127.0.0.23,5020,4,Error,,,conn_refused
127.0.0.28,5020,4,Error,,,conn_refused
127.0.0.29,5020,4,Error,,,conn_refused
127.0.0.24,5020,4,Error,,,conn_refused
127.0.0.30,5020,4,Error,,,conn_refused
127.0.0.26,5020,4,Error,,,conn_refused
127.0.0.21,5020,5,Error,,,conn_refused
127.0.0.22,5020,5,Error,,,conn_refused
127.0.0.25,5020,5,Error,,,conn_refused
127.0.0.29,5020,5,Error,,,conn_refused
127.0.0.28,5020,5,Error,,,conn_refused
127.0.0.27,5020,5,Error,,,conn_refused
127.0.0.30,5020,5,Error,,,conn_refused
127.0.0.23,5020,5,Error,,,conn_refused
127.0.0.24,5020,5,Error,,,conn_refused
127.0.0.26,5020,5,Error,,,conn_refused
127.0.0.21,5020,6,Error,,,conn_refused
127.0.0.22,5020,6,Error,,,conn_refused
127.0.0.29,5020,6,Error,,,conn_refused
127.0.0.25,5020,6,Error,,,conn_refused
127.0.0.30,5020,6,Error,,,conn_refused
127.0.0.26,5020,6,Error,,,conn_refused
127.0.0.27,5020,6,Error,,,conn_refused
127.0.0.24,5020,6,Error,,,conn_refused
127.0.0.28,5020,6,Error,,,conn_refused
127.0.0.23,5020,6,Error,,,conn_refused
127.0.0.21,5020,7,Error,,,conn_refused
127.0.0.22,5020,7,Error,,,conn_refused
127.0.0.28,5020,7,Error,,,conn_refused
127.0.0.25,5020,7,Error,,,conn_refused
127.0.0.30,5020,7,Error,,,conn_refused
127.0.0.23,5020,7,Error,,,conn_refused
127.0.0.27,5020,7,Error,,,conn_refused
127.0.0.24,5020,7,Error,,,conn_refused
127.0.0.29,5020,7,Error,,,conn_refused
127.0.0.26,5020,7,Error,,,conn_refused
127.0.0.21,5020,8,Error,,,conn_refused
127.0.0.22,5020,8,Error,,,conn_refused
127.0.0.28,5020,8,Error,,,conn_refused
127.0.0.24,5020,8,Error,,,conn_refused
127.0.0.29,5020,8,Error,,,conn_refused
127.0.0.23,5020,8,Error,,,conn_refused
127.0.0.27,5020,8,Error,,,conn_refused
127.0.0.26,5020,8,Error,,,conn_refused
127.0.0.30,5020,8,Error,,,conn_refused
127.0.0.25,5020,8,Error,,,conn_refused
127.0.0.21,5020,9,Error,,,conn_refused
127.0.0.22,5020,9,Error,,,conn_refused
127.0.0.28,5020,9,Error,,,conn_refused
127.0.0.24,5020,9,Error,,,conn_refused
127.0.0.29,5020,9,Error,,,conn_refused
127.0.0.25,5020,9,Error,,,conn_refused
127.0.0.23,5020,9,Error,,,conn_refused
127.0.0.26,5020,9,Error,,,conn_refused
127.0.0.30,5020,9,Error,,,conn_refused
127.0.0.27,5020,9,Error,,,conn_refused
127.0.0.21,5020,10,Error,,,conn_refused
127.0.0.22,5020,10,Error,,,conn_refused
127.0.0.29,5020,10,Error,,,conn_refused
127.0.0.24,5020,10,Error,,,conn_refused
127.0.0.28,5020,10,Error,,,conn_refused
127.0.0.30,5020,10,Error,,,conn_refused
127.0.0.26,5020,10,Error,,,conn_refused
127.0.0.27,5020,10,Error,,,conn_refused
127.0.0.23,5020,10,Error,,,conn_refused
127.0.0.25,5020,10,Error,,,conn_refused
127.0.0.21,5020,11,Error,,,conn_refused
127.0.0.22,5020,11,Error,,,conn_refused
127.0.0.28,5020,11,Error,,,conn_refused
127.0.0.24,5020,11,Error,,,conn_refused
127.0.0.25,5020,11,Error,,,conn_refused
127.0.0.26,5020,11,Error,,,conn_refused
